Category/ Age group,Physical activity level,Body Wt (kg),Energy (Kcal/d),Energy (Kcal/kg/d),Protein (g/d),Protein (g/kg/d),Calcium (mg/d),Magnesium (mg/d),Iron (mg/d),Zinc (mg/d),Iodine (μg/d),Thiamine (mg/d),Riboflavin (mg/d),Niacin (mg/d),Vit B6 (mg/d),Folate (μg/d),Vit B12 (μg/d),Vit C (mg/d),Vit A (μg/d),Vit D (IU/d)
Adult Men >18y,Sedentary,65,2110,32,43.0,0.66,800,370,11,14.1,95,1.2,1.6,12,1.6,250,2,65,460,400
Adult Men >18y,Moderate,65,2710,42,43.0,0.66,800,370,11,14.1,95,1.5,2.1,15,2.1,250,2,65,460,400
Adult Men >18y,Heavy,65,3470,53,43.0,0.66,800,370,11,14.1,95,1.9,2.7,19,2.6,250,2,65,460,400
Adult Women >18y,Sedentary,55,1660,30,36.0,0.66,800,310,15,11.0,95,1.1,1.6,9,1.6,180,2,55,390,400
Adult Women >18y,Moderate,55,2130,39,36.0,0.66,800,310,15,11.0,95,1.4,2.0,12,1.6,180,2,55,390,400
Adult Women >18y,Heavy,55,2720,49,36.0,0.66,800,310,15,11.0,95,1.8,2.6,15,2.1,180,2,55,390,400
Pregnant,-,55 + 10 GWG,+350,-,44.0 (2nd trim),0.66 + addl,800,370,21,12.0,160,1.6,2.3,11,1.9,480,2.2,65,406,400
Pregnant,-,55 + 10 GWG,+350,-,54.0 (3rd trim),0.66 + addl,800,370,21,12.0,160,1.6,2.3,11,1.9,480,2.2,65,406,400
Lactation 0-6m,-,55,+600,-,50.0,0.66 + addl,1000,335,16,11.8,200,1.7,2.5,13,1.82,280,2.8,95,720,400
Lactation 7-12m,-,55,+520,-,47.0,0.66 + addl,1000,335,16,11.8,200,1.7,2.4,13,1.76,280,2.8,95,720,400
Infants 0-6m,-,5.8,530,90,7.0,1.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Infants 6-12m,-,8.5,680,80,9.0,1.04,-,-,4,2.1,-,-,-,-,0.5,71,1,-,170,-
Children 1-3y,-,12.9,1110,83,10.0,0.79,400,73,6,2.8,65,0.6,0.8,6,0.8,97,1,24,180,-
Children 4-6y,-,18.3,1360,74,13.0,0.7,450,104,8,3.7,65,0.8,1.1,8,1.0,111,2,27,240,-
Children 7-9y,-,25.3,1700,67,19.0,0.75,500,144,10,4.9,65,1.0,1.3,10,1.3,142,2,36,290,400
Boys 10-12y,-,34.9,2220,64,27.0,0.75,650,199,12,7.0,70,1.3,1.7,12,1.7,180,2,45,360,400
Girls 10-12y,-,36.4,2060,57,27.0,0.73,650,207,16,7.1,70,1.2,1.6,12,1.6,186,2,44,370,400
Boys 13-15y,-,50.5,2860,57,36.0,0.72,800,287,15,11.9,100,1.6,2.2,16,2.2,238,2,60,430,400
Girls 13-15y,-,49.6,2400,49,35.0,0.7,800,282,17,10.7,100,1.3,1.9,13,1.8,204,2,55,420,400
Boys 16-18y,-,64.4,3320,52,45.0,0.7,850,367,18,14.7,100,1.9,2.5,19,2.5,286,2,70,480,400
Girls 16-18y,-,55.7,2500,45,37.0,0.67,850,317,18,11.8,100,1.4,1.9,14,1.9,223,2,57,400,400
